"통계분류","항목","단위","2016 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"남성","PC방","","3.4","4.6","3.8","3.8","2.6","2.5",
"남성","미용관리실","",".2",".4",".3",".6",".3",".4",
"남성","캠핑장","",".8",".7",".5",".9",".9","1.3",
"남성","기타실내체육시설","","","0","2","1.5","1.4","1.2",
"남성","골프장","",".7",".8",".8","1","1.1","1.8",
"남성","주민자치센터","",".5",".8",".8",".3",".3",".6",
"남성","주제공원","","1.1","1",".7","1.1","1.3","1.2",
"남성","노인복지회관","",".9","1.7",".9",".7",".5","1",
"남성","수영장","",".9","1.2","1",".7",".7",".6",
"남성","대형서점","",".4",".1",".6",".1",".3",".9",
"남성","학교운동장","","2.6","2.4","1.9","1.5","1.5","1",
"남성","국민체육센터","","1.4","2.2","1.4","1.1",".4",".9",
"남성","찜질방","",".5",".2",".6",".2",".2",".6",
"남성","생활문화센터","",".3",".3",".3",".2",".1",".7",
"남성","공연장","",".7","1.6",".2",".3",".3",".6",
"남성","골프연습장","","2","1.7",".8","1.4","1.4","1.2",
"남성","운동경기장","","3.4","3.8","2.3","2.3","2.4","1.3",
"남성","당구장","","2","1.7","1.9","1.3",".7","1.2",
"남성","노래방","","1","1",".8",".9",".5",".7",
"남성","학원","",".7","1.5",".4",".7",".8",".5",
"남성","사설문화센터","",".5",".4",".3",".1",".2",".3",
"남성","기타실외체육시설","","","0",".4",".8","1.1",".8",
"남성","낚시터","","1.5","2.1","1.8","1.2","1","1",
"남성","역사/문화유적지","","1.2",".5",".9","1.1",".4",".6",
"남성","삼림욕장","",".4",".2",".3",".6",".6",".4",
"남성","유원지","","1.7",".5",".6","1.4",".8",".6",
"남성","기타 실외공간","","1.5","1","2","2.6","2.1",".5",
"남성","박물관","",".3",".3",".4",".4",".3",".2",
"남성","전시관","",".4","0",".1",".1",".2",".4",
"남성","테마파크","","1.2",".6",".4",".3",".2",".3",
"남성","사회복지관","",".2",".2",".6",".2",".3",".2",
"남성","해수욕장","",".6",".1",".3",".4",".3",".5",
"남성","미술관","",".1",".1",".1",".1",".3",".3",
"남성","문예회관","",".2",".2",".1",".2",".1",".2",
"남성","리조트","",".3",".1",".3",".1",".2",".2",
"남성","복합 체육관","","1.1","1.8",".5",".4",".4",".3",
"남성","오락장","",".2",".1",".4",".1",".2",".3",
"남성","복합문화거리","",".4",".7",".8",".3",".3",".2",
"남성","문화의 집","",".1",".1","0","","0",".2",
"남성","평생 학습관","",".3","0",".3",".1","",".1",
"남성","클럽","",".2",".1",".1",".1","",".2",
"남성","식물원","",".1","0","0",".1",".1",".1",
"남성","기념관","",".1","0",".2","0",".1",".1",
"남성","여성회관","","0","0",".2","","","",
"남성","만화방","","0",".1","0",".1",".2",".1",
"남성","농어촌 복합 체육시설","","0",".2",".1",".1","","",
"남성","동물원","",".1","0","0",".1",".1","",
"남성","청소년수련관","",".1",".1",".1","0","",".1",
"남성","지방문화원","","0","0","",".1","",".1",
"남성","수족관","","0","0","",".1",".1","",
"남성","경마/경정/경륜장","",".1","0","0","0","","",
"남성","농산어촌체험장","",".1",".1","",".1","0","",
"남성","스키장","",".1",".1","",".1","0","",
"남성","빙상경기장","","0",".1","0","0","0","",
"남성","커피숍","","5.1","4.1","","","","",
"여성","표본수","","5423","5235","5032","5085","5077","5153",
"여성","아파트 내 (집주변) 공터","","9.6","6.4","10.9","14.4","20.9","13.4",
"여성","카페","","","0","6.7","10.2","10.9","13.8",
"여성","식당","","6.1","8.8","4.8","8.2","7.1","6.9",
"여성","생활권 공원","","7.1","7.3","5.4","8.8","10.8","5.9",
"여성","대형마트","","6.2","5.6","6.9","7","6.6","6.9",
"여성","영화관","","4.6","7.5","9.9","3","2","4.9",
"여성","헬스클럽","","3.2","4.7","2.8","3","1.8","2.3",
"여성","재래시장","","3","4","3.8","4.3","6.1","3.8",
"여성","쇼핑몰","","4","2.8","3.9","3.1","3.7","3.6",
"여성","산","","2.7","2.1","2","2.5","2.3","1.6",
"여성","기타 실내공간","","2.8","2",".4","1.6","2.8","2.2",
"여성","마을회관","","3.2","2.3","3.7","2.2","1.3","2.6",
"여성","목욕탕","","4.2","3.2","3.9","2.9","1.3","2.8",
"여성","종교시설","","4","5","4.7","3.5","2.1","2.4",
"여성","도서관","","1","1.1","1.2",".9",".7","1.5",
"여성","학교시설","","1.3","1.5","1","1",".8","1.3",
"여성","PC방","",".3","1",".4",".6",".5",".3",
"여성","미용관리실","","1","1.2","2","1.2","1.1","2.1",
"여성","캠핑장","",".7",".3",".3",".6",".7",".9",
"여성","기타실내체육시설","","","0","1.6","1.3","1.3","1",
"여성","골프장","",".2",".3",".3",".2",".3",".3",
"여성","주민자치센터","","2.4","1.8","2.2",".9",".4","1.4",
"여성","주제공원","",".5",".5",".6","1","1.5",".8",
"여성","노인복지회관","","1.7","1.9","1.3",".7",".6","1",
"여성","수영장","","2.4","2.2","1.2","1.3",".8","1.3",
"여성","대형서점","",".1",".3",".5",".1",".3","1",
"여성","학교운동장","","1","1.2",".4",".8",".7",".8",
"여성","국민체육센터","","1.9","1.9","1.2","1.2",".4",".9",
"여성","찜질방","","1.4","1.2","2",".7",".5","1.1",
"여성","생활문화센터","",".8","1.1",".9",".4",".1",".8",
"여성","공연장","",".9","1.5",".4",".3",".3",".9",
"여성","골프연습장","",".4",".3",".1",".3",".3",".3",
"여성","운동경기장","",".5",".6",".2",".4",".2",".1",
"여성","당구장","",".1",".1","0",".1","0","",
"여성","노래방","",".7","1",".8",".6",".2",".5",
"여성","학원","","1","1.3",".7",".6",".8",".7",
"여성","사설문화센터","",".8",".6",".4",".5",".3",".8",
"여성","기타실외체육시설","","","0",".3",".5",".6",".3",
"여성","낚시터","",".2",".1",".2",".1",".3","",
"여성","역사/문화유적지","",".8",".5",".9","1.4",".9",".4",
"여성","삼림욕장","",".5",".3",".2",".2",".3",".6",
"여성","유원지","","1.3",".6",".7","1.1",".6",".4",
"여성","기타 실외공간","","1.2",".3","1.6","1.7","1.7",".5",
"여성","박물관","",".6",".4",".6",".4",".3",".6",
"여성","전시관","",".2",".1",".2",".3",".2",".4",
"여성","테마파크","","1",".4",".3",".5",".3",".5",
"여성","사회복지관","",".4",".6",".8",".3",".2",".5",
"여성","해수욕장","",".4",".1",".6",".4",".2",".3",
"여성","미술관","",".1",".1",".1",".2",".3",".3",
"여성","문예회관","",".1",".3",".4",".1",".1",".3",
"여성","리조트","",".1","0",".4","0",".1",".2",
"여성","복합 체육관","",".9","1.3",".4",".4",".3",".1",
"여성","오락장","",".1","0",".1","0","0",".1",
"여성","복합문화거리","",".8",".9",".8",".4",".3",".2",
"여성","문화의 집","",".2",".1",".1","0","",".2",
"여성","평생 학습관","",".2",".3",".5",".2",".1",".2",
"여성","클럽","",".1",".1",".1","0","",".1",
"여성","식물원","",".1",".1",".1",".1",".1",".1",
"여성","기념관","",".1","0",".2","","0",".2",
"여성","여성회관","",".7",".4",".7",".1",".1",".2",
"여성","만화방","",".1",".1",".1","0",".1",".1",
"여성","농어촌 복합 체육시설","",".1",".1","0",".1","0",".1",
"여성","동물원","","0","0",".1",".2",".1",".1",
"여성","청소년수련관","",".4",".3",".1",".1","0","",
"여성","지방문화원","",".1","0","0","","0","",
"여성","수족관","",".1",".1","0",".1","",".1",
"여성","경마/경정/경륜장","","0","0","","0","0","",
"여성","농산어촌체험장","",".1","0","0","0","0","",
"여성","스키장","","0","0","0","","","",
"여성","빙상경기장","","0","0","","","0","",
"여성","커피숍","","7","7.5","","","","",
"15~19세","표본수","","827","696","661","619","588","487",
"15~19세","아파트 내 (집주변) 공터","","4.2","4.4","4.7","8.1","9.4","4.3",
"15~19세","카페","","","0","6.1","10.2","12.2","9.2",
"15~19세","식당","","4.6","5.5","3.3","3.9","5","3.7",
"15~19세","생활권 공원","","2.9","1.6","1.9","3.7","5.3","3",
"15~19세","대형마트","",".4",".7",".3",".6","2.4","1.5",
"15~19세","영화관","","7.3","10.3","17.3","6.1","4.4","7.3",
"15~19세","헬스클럽","",".7",".6","2","2.7","1.9","2.3",
"15~19세","재래시장","","0","0","","",".4","",
"15~19세","쇼핑몰","","2.1",".9","2.5","1.9","2.5","1.7",
"15~19세","산","",".3",".4",".5",".5",".4",".3",
"15~19세","기타 실내공간","","3.5","2.2",".6","2.4","3.9","3",
"15~19세","마을회관","","0","0","","","","",
"15~19세","목욕탕","","1.4",".3",".4",".4","","",
"15~19세","종교시설","",".4",".7",".2",".5",".3",".4",
"15~19세","도서관","","4.2","4.4","3.8","3.1","2.1","7.2",
"15~19세","학교시설","","12.6","12.5","10.3","10.8","10.2","18.2",
"15~19세","PC방","","9.6","12.7","10.8","10.5","8.4","6.3",
"15~19세","미용관리실","",".1",".6",".7",".2",".8",".6",
"15~19세","캠핑장","",".2","0",".2","",".6",".6",
"15~19세","기타실내체육시설","","","0","2.6","1.9","2.3","1.2",
"15~19세","골프장","","0","0","","","","",
"15~19세","주민자치센터","","0",".3","","","","",
"15~19세","주제공원","",".4",".2",".8",".7",".8",".2",
"15~19세","노인복지회관","","0","0","","","","",
"15~19세","수영장","",".3",".4",".4",".2",".1",".4",
"15~19세","대형서점","",".7",".2","1.4","",".3","1.8",
"15~19세","학교운동장","","11.6","7.1","6.7","8.3","7.4","7.8",
"15~19세","국민체육센터","",".6",".5",".4",".4",".8",".2",
"15~19세","찜질방","",".7","0",".3","",".4","",
"15~19세","생활문화센터","",".2",".2",".1","","",".4",
"15~19세","공연장","",".6","3.4",".4",".7","",".9",
"15~19세","골프연습장","","0","0","","","","",
"15~19세","운동경기장","","5.2","6.1","4.1","4.1","4.9","2",
"15~19세","당구장","",".3",".6",".2",".2",".2",".2",
"15~19세","노래방","","2.9","2.9","5.1","3.6","1.7","2.9",
"15~19세","학원","","6","7.3","3.3","6.2","4.8","6.2",
"15~19세","사설문화센터","",".5","0",".6","",".2",".4",
"15~19세","기타실외체육시설","","","0",".2",".1",".5",".5",
"15~19세","낚시터","","0",".1","",".5","","",
"15~19세","역사/문화유적지","",".3",".6",".1",".4",".4",".1",
"15~19세","삼림욕장","",".2","0","",".1","","",
"15~19세","유원지","",".4",".1",".1",".3",".3",".7",
"15~19세","기타 실외공간","",".9",".5","1.6","2.6","1.2","",
"15~19세","박물관","",".6",".6",".5",".1",".5",".8",
"15~19세","전시관","",".1",".1","",".1",".3",".1",
"15~19세","테마파크","",".7",".5",".2",".4","",".5",
"15~19세","사회복지관","",".3","0",".1","","","",
"15~19세","해수욕장","",".3",".2",".5","",".1",".3",
"15~19세","미술관","",".1",".6","0","",".2",".4",
"15~19세","문예회관","","0",".1","",".1","","",
"15~19세","리조트","","0","0","",".2","","",
"15~19세","복합 체육관","",".5","1.3",".6",".9",".9","",
"15~19세","오락장","",".7",".3","0",".2",".2",".1",
"15~19세","복합문화거리","","1",".9","3.2",".7",".4",".8",
"15~19세","문화의 집","","0",".5",".1",".2","",".2",
"15~19세","평생 학습관","",".1","0",".2","","","",
"15~19세","클럽","","0",".1","","","",".1",
"15~19세","식물원","","0","0","",".2",".4","",
"15~19세","기념관","","0","0",".3",".2","","",
"15~19세","여성회관","","0","0",".3","","","",
"15~19세","만화방","",".1",".1",".2","",".1",".4",
"15~19세","농어촌 복합 체육시설","",".2",".1","","","","",
"15~19세","동물원","","0","0","",".2",".2","",
"15~19세","청소년수련관","",".3",".4",".2",".2","",".6",
"15~19세","지방문화원","","0","0","","","","",
"15~19세","수족관","","0","0","","","","",
"15~19세","경마/경정/경륜장","","0","0","",".3","","",
"15~19세","농산어촌체험장","","0","0","","","",".2",
"15~19세","스키장","","0","0","","","","",
"15~19세","빙상경기장","","0","0","","",".3","",
"15~19세","커피숍","","8.5","5.8","","","","",
"20대","표본수","","1476","1458","1468","1536","1512","1371",
"20대","아파트 내 (집주변) 공터","","2.4","2.2","5.9","6.4","11.3","5.1",
"20대","카페","","","0","13.7","22.8","23.2","24.3",
"20대","식당","","9.8","10.7","7.2","9","10.4","8.3",
"20대","생활권 공원","","1.9","2.2","2.6","4.5","6.3","2.2",
"20대","대형마트","","1.1",".6","2.6","1.3","2.2","1.9",
"20대","영화관","","10.1","12.6","16.5","6.2","4","8.8",
"20대","헬스클럽","","4.4","5.6","6.3","7.3","5.8","7.5",
"20대","재래시장","",".2",".3",".1",".5",".5",".1",
"20대","쇼핑몰","","3.4","2.6","3.6","3.2","3.4","3.1",
"20대","산","",".7",".8",".4",".8",".8",".7",
"20대","기타 실내공간","","4","1.4",".3","1.3","3","2.9",
"20대","마을회관","","0","0",".1",".1","","",
